NPC_Profile_1,NPC_Profile_2,NPC_Profile_3,NPC_Profile_4,NPC_Profile_5,NPC_Profile_6,NPC_Profile_7,NPC_Profile_8,NPC_Profile_9,NPC_Profile_10,NPC_Profile_11,NPC_Profile_12,NPC_Profile_13,NPC_Profile_14,NPC_Profile_15,NPC_Profile_16,NPC_Profile_17,NPC_Profile_18,NPC_Profile_19,NPC_Profile_20,NPC_Profile_21,NPC_Profile_22,NPC_Profile_23,NPC_Profile_24,NPC_Profile_25
104.7,118.05,131.5,140.7,157.8,173.35,186.3,203.7,204.5,183.2,169.05,157.15,152,164.85,169.95,183.05,191.65,175.55,130.8,100.75,89.85,94.65,104.35,108,98
71.95,83.95,104.55,127.1,153.45,179.6,193.25,198.95,200,193.25,169.6,141.9,129,134.35,158.05,173.65,182.9,184.15,162.15,124.15,105.6,93.4,82.6,72.05,63.9
106.45,121.55,128.45,133.55,137.65,147.95,160.85,170.3,164.6,139.1,122.5,137.8,135,115.45,118.15,120.8,134.6,137.9,124.3,107.9,101.9,89.6,79.65,69.5,57.4
113.8,126.7,125.1,124.35,123.15,120.8,115.2,108.8,111.7,106.65,97.8,96.65,101,96.1,93.65,100.7,109.05,115.65,108.2,105.8,93.4,79.6,68.15,67.3,64.65
78.25,105.15,117.75,123.85,132.05,128.35,131.3,145.35,151.2,141.1,128.55,119.3,127,136.7,148.15,158.4,163.4,160.15,149.45,131,124.35,117.65,97.45,74.4,57.8
69.25,81,87.15,88.2,83.2,71.35,64.95,62.8,66.1,61.85,58.6,64.35,77,71.9,49.5,57.5,74.1,96.7,100.15,73.9,62.15,60.75,59.2,59.9,48.3
74.75,96.3,107.85,115.75,108.05,96.55,101.15,108.55,125.85,117.25,117.2,139.6,172,133.4,107.9,109.55,116.95,110.35,85.4,78.35,83.2,86.15,88.25,73.35,65.75
28.15,36.8,47.4,58.3,74.4,85.95,88.25,92,76.5,61.7,60.8,85.85,97,90.65,50.75,42.35,41.8,57.1,72.55,80.65,87.45,88,85.75,70.45,61.85
52.85,54.1,55.05,54,60.35,69.05,86.05,125.55,151.5,158.95,165.9,197.2,193,142.55,131.85,126.75,133.25,133.2,105.3,87.7,77.6,71.8,66.45,65.2,48.65
63.5,69.9,78.2,86.4,102.4,118.6,112.35,103.9,110.05,100,95.75,95.95,102,97.3,92.7,104.6,119.15,114.45,95.9,82.7,68.65,73.9,60.15,48.7,41.15
